IdEstacion;Nombre Estacion;Latitud;Longitud;Altura;Año;Mes;Dia;TMinima;TMaxima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;6;19.0;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;7;18.6;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;8;18.9;22.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;9;18.8;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;10;16.7;23.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;11;19.5;23.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;12;18.2;23.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;13;16.4;23.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;14;15.7;22.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;15;19.1;22.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;16;18.9;22.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;17;19.1;22.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;18;19.0;22.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;19;15.3;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;20;16.1;21.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;21;13.3;21.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;22;16.9;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;23;13.7;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;24;14.6;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;25;14.8;21.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;26;15.9;20.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;27;17.5;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;28;15.6;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;29;12.8;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;30;12.5;21.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;5;31;13.2;21.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;1;18.2;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;2;18.6;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;3;12.6;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;4;17.1;21.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;5;16.8;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;6;17.0;21.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;7;13.8;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;8;17.0;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;9;16.5;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;10;18.0;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;11;17.8;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;12;18.1;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;13;18.3;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2012;6;14;16.6;20.8
